-0.021668,-0.010093
-0.021668,-0.010093
-0.021668,-0.010093
-0.021668,-0.010093
-0.021683,-0.010095
-0.021489,-0.010071
-0.020796,-0.009952
-0.019732,-0.009728
-0.018094,-0.009349
-0.016408,-0.008941
-0.014225,-0.008383
-0.011658,-0.007699
-0.009080,-0.007015
-0.005755,-0.006135
-0.002397,-0.005243
0.000970,-0.004363
0.005014,-0.003322
0.009088,-0.002284
0.013170,-0.001261
0.017875,-0.000107
0.022609,0.001035
0.027351,0.002158
0.032659,0.003387
0.037998,0.004599
0.043344,0.005789
0.049199,0.007063
0.055084,0.008317
0.060975,0.009547
0.067317,0.010840
0.073689,0.012112
0.080066,0.013358
0.086837,0.014650
0.093637,0.015919
0.100443,0.017162
0.107585,0.018434
0.114756,0.019683
0.122447,0.020993
0.130170,0.022275
0.137899,0.023524
0.145856,0.024774
0.153819,0.025991
0.161787,0.027173
0.169917,0.028344
0.178053,0.029480
0.186193,0.030582
0.194439,0.031661
0.202690,0.032705
0.210945,0.033712
0.219252,0.034689
0.227563,0.035628
0.235877,0.036529
0.244189,0.037390
0.252505,0.038212
0.260825,0.038992
0.269087,0.039726
0.277355,0.040416
0.285626,0.041061
0.293786,0.041654
0.301950,0.042200
0.310117,0.042696
0.318121,0.043134
0.326127,0.043521
0.334136,0.043853
0.341928,0.044124
0.349722,0.044338
0.357518,0.044491
0.365055,0.044586
0.372581,0.044642
0.380112,0.044638
0.387332,0.044561
0.394540,0.044432
0.401751,0.044237
0.408607,0.043967
0.415449,0.043631
0.422290,0.043219
0.428736,0.042738
0.435164,0.042179
0.441588,0.041531
0.447580,0.040825
0.453549,0.040028
0.459508,0.039128
0.465008,0.038186
0.470478,0.037139
0.475929,0.035974
0.481063,0.034747
0.486158,0.033391
0.490756,0.032023
0.495301,0.030501
0.499787,0.028816
0.503823,0.027132
0.507787,0.025291
0.511668,0.023274
0.515163,0.021255
0.518557,0.019076
0.521835,0.016718
0.524861,0.014302
0.527779,0.011793
0.530615,0.009172
0.533434,0.006312
0.536107,0.003332
0.538640,0.000229
0.541202,-0.003243
0.543591,-0.006827
0.545799,-0.010528
0.548022,-0.014724
0.550046,-0.019008
0.551871,-0.023384
0.553650,-0.028331
0.555215,-0.033337
0.556579,-0.038404
0.557824,-0.044047
0.558854,-0.049719
0.559692,-0.055425
0.560354,-0.061655
0.560811,-0.067888
0.561093,-0.074133
0.561169,-0.080821
0.561068,-0.087473
0.560811,-0.094105
0.560342,-0.100875
0.559686,-0.107841
0.558892,-0.114790
0.557914,-0.121869
0.556774,-0.129104
0.555518,-0.136315
0.554091,-0.143746
0.552571,-0.151145
0.550973,-0.158527
0.549232,-0.166043
0.547418,-0.173525
0.545547,-0.180995
0.543568,-0.188533
0.541520,-0.196049
0.539369,-0.203769
0.537149,-0.211553
0.534878,-0.219322
0.532574,-0.227056
0.530245,-0.234782
0.527892,-0.242501
